2026-06-11 13:56, failed, 121.14
2026-06-11 14:38, unknown, 0.00
2026-06-11 15:07, failed, 121.80
2026-06-11 15:24, failed, 120.17
2026-06-11 15:35, success, 103.57
2026-06-11 15:45, success, 97.50
2026-06-11 15:52, success, 97.41
2026-06-11 16:13, success, 100.58
2026-06-11 16:46, success, 90.73
2026-06-11 17:06, success, 90.69
2026-06-11 17:31, success, 101.27
2026-06-11 17:38, success, 88.79
2026-06-11 18:02, success, 105.71
2026-06-11 18:32, success, 95.14
2026-06-11 19:00, success, 92.38
2026-06-11 19:31, success, 87.47
2026-06-11 20:00, failed, 103.15
