2026-06-11 13:56, success, 22.25
2026-06-11 14:38, failed, 62.76
2026-06-11 15:07, success, 21.55
2026-06-11 15:24, success, 26.00
2026-06-11 15:35, success, 30.84
2026-06-11 15:45, success, 21.52
2026-06-11 15:52, success, 21.56
2026-06-11 16:13, success, 21.51
2026-06-11 16:46, success, 22.56
2026-06-11 17:06, success, 31.82
2026-06-11 17:31, success, 19.13
2026-06-11 17:38, success, 19.73
2026-06-11 18:02, success, 19.45
2026-06-11 18:32, success, 29.27
2026-06-11 19:00, success, 20.25
2026-06-11 19:31, success, 19.25
2026-06-11 20:00, success, 22.41
2026-06-11 20:02, success, 19.67
2026-06-11 20:31, success, 50.98
